category,clue_count,topic,example_question,example_answer
JEOPARDY! PLACE,26,,Drake returned to Jeopardy! Place from this capital of Hungary not knowing Emily had had his child,Budapest
THE 1990S,26,,"Pierce Brosnan played this superspy for the first time in ""GoldenEye""",James Bond
COMMUNICATIONS,26,,It's waved to indicate surrender or truce,white flag
AMERICANS IN PARIS,26,,"The avant-garde author of ""Three Lives"", her home was a salon for emerging artists such as Picasso & Braque",(Gertrude) Stein
"""M""ISCELLANY",26,,One of Oz' little folks,Munchkins
U.S. FIRSTS,25,,"The first U.S. spacecraft to hit the visible side of the moon landed in this waterless ""sea"" in 1964",Sea of Tranquility
"CATCHING SOME ""Z""S",25,,"If you don't keep an eye on it, this Italian squash can grow to the size of a watermelon",zucchini
"TELL ME ""Y""",25,,"A bumpkin, perhaps a local one",Yokel
"""RH"" FACTOR",25,,A lot of exaggerated hip swinging is used in this complex Cuban dance,Rhumba
MONTHS,25,,It starts with St. Bavo's Day & ends with Halloween,October
THE 1860S,25,,"In March of 1867 Secretary of State Seward arranged to buy this ""icebox"" for a total of $7.2 million",Alaska
"""G"" MEN",25,,In 1919 this producer/director found United Artists along with Charlie Chaplin & 2 others,D.W. Griffith
SOUNDS GOOD TO ME,25,,"A common exclamation from this popular TV show is heard here ""D'oh!""",The Simpsons
TEAM PLAYERS,25,,A young reporter on the Tribune or the Sun-Times,Chicago Cub
IN THE MIDDLE OF THE STATE,25,,"Colorado has a little ""color"" in its name, but this state has a ""tan""",monTANa
GLOBETROTTING,25,,This man brought the Roman alphabet & Latin literature to Ireland in the 400s A.D.,St. Patrick
WHAT'S YOUR SIGN?,25,,"Protests against the Confederate flag in Columbia, this state's capital, said, ""Your Heritage is my Slavery""",South Carolina
THE 1880S,25,,"In 1889, with Dumas & de Maupassant protesting loudly, this 984-foot structure opened near the Seine",Eiffel Tower
MNEMONICS,25,,"It's the familiar rule, in rhyme, useful in spelling ""chief"" & ""receive""","""I"" before ""E,"" except after ""C"""
FOLLOW THE LEADER,25,,"A prototype TV show, or one who steers a vessel",pilot
"""SH""!",25,,"""Who knows what evil lurks in the hearts of men?"" This title man of radio knows",The Shadow
A FEW GOOD MEN,25,,The 1973 Nobel Peace Prize went to Le Duc Tho who declined it & this Secretary of State who accepted,Henry Kissinger
GONE WITH THE WIND,25,,In Chapter II Scarlett's father declares he's proud of his origins in this country,Ireland
A SPANISH INQUISITION,25,,Spain's highest peaks in these mountains are in the Maladeta range,the Pyrenees
FROM A TO E,25,,"Hateful, or a certain snowman",abominable
THEME PARK FUN,25,,"At Universal Orlando, the Caro-Seuss-el is a Dr. Seuss version of this classic ride",a carousel
"WATER, WATER EVERYWHERE",25,,You'll find Lake Louise & Great Bear Lake in this large country,Canada
SHAPE UP,25,,Shape of the organ of Corti in your ear & of some staircases,spiral
OLD JOBS,25,,A hostler or ostler was employed at an inn taking care of these animals,horses
SHADES OF BLUE,25,,An infant,baby blue
"""P""EOPLE",25,,"With the Mets since 1998, he's been called ""The greatest-hitting catcher ever to play the game of baseball""",Mike Piazza
MARCH MADNESS,25,,"In March 1969 Baron Constantine, lawyer & cricket star, became the 1st black member of this house of Parliament",House of Lords
COUNTRY TIME,25,,"It's the country where you'll find a theatre, library & rose garden all named for Grace Kelly",Monaco
"""B"" PLUS",25,,It can mean a spirited young man as well as the cutting part of a sword,a blade
CURRENT EVENTS,25,,"The ocean current named for this most populous state flows south at a slow, you might also say mellow, pace",California
CLIFF NOTES,25,,Jiminy Cricket! Cliff Edwards was the voice of Jiminy Cricket in this 1940 classic,Pinocchio
SIDEKICKS,25,,John Ales was Eddie Murphy's dutiful assistant in 2 movie remakes of this 1963 Jerry Lewis film,The Nutty Professor
"""P""S ON EARTH",25,,The event in the Olympic decathlon in which the contestant gets the farthest off the ground,pole vault
"""X""S & ""O""S",25,,Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero,oratory
"ON THE ""GO""",25,,"Africa's second-longest river, it's sometimes referred to as the Zaire",the Congo
"TRIPLE ""A""",25,,"The ""World"" one claims to be the all-time bestselling American reference book",almanac
ALSO A BODY PART,25,,"An inlet or cove, or to equip with weapons",arm
LIQUIDS,25,,Term for the substance expelled by the fleeing octopus; some of it appears to paralyze predators,ink
"YOU GET A ""D""",25,,Fins on the bottom of a fish are called pectoral; this is used to describe the opposite fin up on top,dorsal
GET YOUR KICKS,25,,"In slang, to kick this 6-letter container is to die",the bucket
FOUNTAINS,25,,The Bethesda Fountain overlooks the lake in this New York City park,Central Park
"GIMME AN ""H""",25,,The western hemisphere country with French as an official language that fits the category,Haiti
GUINNESS WORLD RECORDS,25,,"Ma Li Hua went 303,621 for 303,628 single-handedly setting up & toppling these",dominoes
"""L"" ON EARTH",25,,"In 1959, a chapter of Gamblers Anonymous was formed in this city -- how apt!",Las Vegas
IT'S ALL ABOUT HER,25,,"""Condi: The Life of a Steel Magnolia""",(Condoleezza) Rice
"""M.C.""",25,,"Usually a den with a TV & not a hollow in the earth, it's a place where a guy can get away from it all",a man cave
PREQUELS & SEQUELS,25,,"For a charity auction in 2008, she wrote an 800-word Harry Potter prequel",J.K. Rowling
TAKE THE KIDS!,24,,Toon Lagoon at Universal Studios Florida boasts a white-knuckle raft ride named for Bluto & this sailor,Popeye
DONE THAT,24,,"This Model T maker bought out his stockholders, calling them parasites",Henry Ford
PICTURE THIS,24,,[video clue - audio portion also missing],St. Patrick's Day & Christmas Day
"""P""OTPOURRI",24,,Distinctive variety of tower seen here,pagoda
2001,24,,In January 2001 rolling blackouts were ordered by officials in this state,California
IT'S ALL RELATIVE,24,,It's a pendular timepiece with a case as tall as or taller than a person,a grandfather clock
CANADIANA,24,,"In Canada ""This Land Is Your Land"" goes, ""From Bonavista"" (in this land paired with Labrador) ""to Vancouver Island""",Newfoundland
HOTELS,23,,"Le Champollion is the gourmet restaurant of this city's Le Meridien Hotel, on an island in the Nile",Cairo
"MIND YOUR ""P""S & ""Q""S",23,,It can be a fake doctor or a sound Daffy might make,Quack
THE 1950S,23,,In 1959 this spiritual leader of Tibet fled to exile in India,Dalai Lama
THE CALENDAR,23,,"It's the second-shortest month in most of the U.S., beating out the third-shortest months by one hour",April
THE MATERIAL WORLD,23,,An elastomer is defined as a synthetic polymer having the properties of this natural material,rubber
THAT'S A FACT,23,,The highest & lowest points in the 48 contiguous states are within 100 miles of each other in this state,California
DAYS OF THE WEEK,22,,Crusoe's companion,Friday
ARLINGTON NATIONAL CEMETERY,21,,In 1988 his body was moved to Arlington & buried next to Robert Peary,Matthew Henson
MATERIALS,21,,The name of the sheet seen here is derived from the name of this material,Celluloid
RECENT EVENTS,21,,Mike Myers first gave this movie title ogre a Canadian accent before going to a Scottish one,Shrek
ON THE CALENDAR,21,,"In 1974, to save energy, it began in January instead of April & ended on October 27",daylight saving time
POPULATIONS,21,,"Of 2 million, 20 million or 200 million, the number closest to the population of Native Americans in the U.S.A.",2 million
PRODUCE,21,,I heard it through some kind of vine that 2440 B.C. Egyptian tomb paintings depict the cultivation of this fruit,grapes
"""E"" FOR EFFORT",20,,This joint connects your upper arm to your forearm,Elbow
SILENT G,20,,In the late 1960s this neighborhood was the center of San Francisco's hippie population,Haight-Ashbury
"THE ""UN""CATEGORY",20,,"When I take off all my clothes, I'm this, just like a salad without its vinaigrette",Undressed
SINNERS,20,,"When this ""lucky"" mobster took a fall, Frank Costello became acting head of his family","Charles ""Lucky"" Luciano"
"""F"" TROOP",20,,"1880s moms dressed their sons in velvet suits & curls in imitation of this ""Little Lord"" of literature",Fauntleroy
BETWEEN,20,,"Stooges: Moe, _____, Curly",Larry
LOST,20,,"TV show whose theme says, ""The Minnow will be lost""",Gilligan's Island
"WHAT'S UP, DOC?",20,,"In 1899, along with his 2 sons, he founded St. Marys's Hospital in Rochester, Minnesota",William Mayo
"""K"" MART",20,,College fraternities know it's a small cask or barrel with a capacity of about 15.5 gallons,Keg
STATES' MEN,20,,"James Whitcomb Riley, Michael Jackson, Jim Davis",Indiana
"""E""OGRAPHY",20,,This country borders Colombia & Peru,Ecuador
DOWN TO EARTH,20,,It's the next line north of the Equator that has been named as well as numbered,Tropic of Cancer
"""R"" TOWN",20,,This Southern capital covers 63 square miles on both sides of the James River,"Richmond, Virginia"
ASSUME THE POSITION,20,,"The mask, chest protector, etc. of this baseball position are called the ""tools of ignorance""",catcher
COMPOSE YOURSELF,20,,"This composer's shows ""Cats"" & ""Phantom of the Opera"" have won a total of 14 Tonys",Andrew Lloyd Webber
FOUR,20,,"Naismith sport played by the men on the ""Road to the Final Four""",Basketball
FARMING,20,,"One of these farms may have over a million animals that are literally just there to ""lay"" around",poultry/egg farm
"SEEING ""RED""",20,,"In ""Peanuts"", Snoopy often fancied himself a flying ace out to get this pilot",The Red Baron
AIN'T THAT AMERICA,20,,This state's largest lake may be 20 times as salty as any ocean,Utah (Great Salt Lake)
WINGS,20,,"This Roman god is often depicted in art as a chubby, winged infant wearing a blindfold",Cupid
CHEERS,20,,Tequila & lime juice go into this cocktail that's served in a salt-rimmed glass,Margarita
CAROLS,20,,A highlight of her variety show was her portrayal of Mrs. Wiggins opposite Tim Conway's Mr. Tudball,Carol Burnett
"""C"" PLUS",20,,"The name of this ribbed material often used for pants was once thought to come from the French for ""king's cord""",Corduroy
"NEW YORK, NEW YORK",20,,"If you're in town in April, put on your bonnet & join the parade down Fifth Avenue for this holiday",Easter
NEW MEXICO,20,,"Bugs Bunny often said, ""I knew I shoulda taken that left turn at"" this city",Albuquerque
1957,20,,"Rejected in Russia, this Boris Pasternak novel began making house calls in Italy","""Doctor Zhivago"""
"SECOND LETTER ""Y""",20,,Connection on the street for the hose,Hydrant
FILL IN THE TITLE,20,,"In a Beckett play, it's Didi & Gogo who are ""Waiting For"" him",Godot
DUETS,20,,"He was Michael Jackson's duet partner on ""Say, Say, Say"" & Stevie Wonder's on ""Ebony and Ivory""",Paul McCartney
"""B"" SHARP",20,,Snoopy's breed,beagle
BROWN,20,,Samuel Smith's of Yorkshire brews a brown as well as a pale type of this beer relative,Ale
OLD SCHOOL,20,,"Japan's first modern university was the university of this city, established in 1877",Tokyo
WHAT A TOOL,20,,"Dead blow, soft face, claw, ball peen",Hammers
THE ONION,20,,Sulfuric compounds in onions induce these in humans who are slicing them,Tears
"""D"" DAY",20,,"Nationality that precedes auction, oven & elm disease",Dutch
LET'S CELEBRATE!,20,,"The people of Monroe in this state have been celebrating ""Cheese Days"" since 1914 (They must be tired!)",Wisconsin
UNDER THE MICROSCOPE,20,,Symbol of lightness seen here on a slide,feather
AM I BLUE?,20,,This blue or bluish-green stone often seen in Southwestern jewelry is a birthstone for December,turquoise
PROFESSORS,20,,"""GYN/Ecology"" author Mary Daly has fought Boston College for the right to exclude these people from class",men
LATIN,20,,Lacrimae means these; your eye has lacrimal glands that produce them,tears
TOP 40 DEBUTS,20,,"1974: ""Piano Man""",Billy Joel
GREEK LETTERS,20,,"Dear Pindar, good news: when this Macedonian sacked Thebes in 335 B.C., I hear he spared your house",Alexander the Great
VERMONT,20,,"The city of Burlington lies on the shores of this, Vermont's largest lake",Lake Champlain
PICTURE THE PREZ,20,,Representative Thaddeus Stevens led the attempt to impeach this president,Andrew Johnson
AMERICAN DRAMATISTS,20,,"His 1964 play ""After the Fall"" dealt with his relationship with Marilyn Monroe, to whom he was once married",Arthur Miller
ERNEST HEMINGWAY,20,,"Hemingway's nickname, or what sons Jack, Patrick & Gregory called him",Papa
DEAR DIARY,20,,"March 28, 2001: Hmm...""Hip Hoppin; Howdy Diddy""...That's not right...""P. Diddy""! That's the name I'll call myself!","Sean ""Puffy"" Combs"
TOOL TIME,20,,( Let's go to the Clue Crew. ) The two cordless tools Alex is holding both operate on this type of power,battery power
ON THE JOB,20,,"""If I were"" one of these woodworkers, I could build you shelves, put up molding, etc.",carpenter
WATER WORLD,20,,Chew on this: When a crocodile loses one of these another is there to take its place,tooth
HUSBANDS & WIVES,20,,"This man married Betsy Griscom of Philadelphia in 1773, perhaps due to her skill with a needle & thread",(John) Ross
A CATEGORY ABOUT NOTHING,20,,"Nothing proverbs include ""Nothing have, nothing crave"" & ""Nothing ventured, nothing"" this",lost (gained)
"GEOGRAPH""E""",20,,Sicilians call this active volcano Mongibello,Etna
COACH,20,,Tyrone Willingham is the first African-American football coach to lead this school's Fighting Irish,Notre Dame
"""J""EOGRAPHY",20,,No roads lead into this U.S. state capital; it can only be reached by aircraft or boat,Juneau
SPORTSMEN,20,,"In 2000 this Los Angeles Laker was named the NBA's MVP, receiving 120 of 121 first place votes",Shaquille O'Neal
"""V""",20,,"At a mean distance of 67 million miles, it's the second planet from the sun",Venus
CRITTERS,20,,It's the world's tallest animal whose young is known as a calf,a giraffe
WHATCHAMACALLIT,20,,Term for the Revolutionary War militia members who were ready to fight at a moment's notice,Minutemen
THEY NAMED A SCHOOL FOR ME,20,,"Leland Stanford, Jr., who died at age 15 in 1884, is memorialized by a university in this state",California
TOWERS,20,,The descendants of Noah erected it on the Plain of Shinar,the Tower of Babel
HORSING AROUND,20,,It makes a blacksmith's job much easier that this part of the horse has no nerves,hoof
LIVE IN TEXAS,20,,"If you're on the road again in Texas, stop at Luck, this singer's world headquarters",Willie Nelson
"""BOO""!",20,,Soft woolen shoes for a baby,booties
SILVER,20,,"Werewolves take note: the light beer from this brewery is known as ""The Silver Bullet""",Coors
MISSING VOWELS,20,,"A fest-ive month: ""CTBR""",October
PILLOW TALK,20,,"In classic radio comedy, Dick Orkin turned this under-kids'-pillows cash provider into the Molar Marauder",the Tooth Fairy
HAIR,20,,"Rapunzel's hair color, it might have opened her up to some jokes",blonde
FAMILY MATTERS,20,,"This type of multiple birth occurs about once every 7,700 births",triplets
A BEASTLY CATEGORY,20,,"If you feel a chill you might get these kind of ""bumps"" named after an animal",goosebumps
METAPHORS,20,,"To display one's competence is to ""earn"" these, like a pilot",your wings
STATE STUFF,20,,It contains both the highest point & the lowest point in the contiguous 48 states,California
"SEE ""NN""",20,,In 1933 Kraft introduced Miracle Whip as a better & lower cost alternative to this,mayonnaise
THIS OR THAT,20,,The organ that weighs around 3 pounds in an adult or Pinky's cartoon pal voiced by Maurice Lamarche,The Brain
PIRATES,20,,"In the 1600s, the pirate Koxinga took this island also known as Formosa from the Dutch",Taiwan
THE GIANTS,20,,1 Samuel 17 informs us that the Philistine city of Gath was the home of this giant,Goliath
"""E""ASY DOES IT",20,,One of the 2 official languages of the Pacific island kingdom of Tonga,English
WHAT THE DICKENS!,20,,"It ends, ""God bless us, every one!""",A Christmas Carol
HERE COMES THE SUN,20,,"Appropriately, the sun is classified as a dwarf star of this color",yellow
SMART ANSWERS,20,,Psychologist Lewis Terman thought someone scoring over 140 on an IQ test could qualify as one of these,a genius
SIGNS OF THE ZODIAC,20,,Today it would be a Perrier carrier,Aquarius
"THE ""IV"" LEAGUE",20,,Home sweet home for bees,a hive
SPEECH!,20,,"Speaking at an 1848 convention, Elizabeth Cady Stanton said, ""We now demand our right to"" do this",vote
VARIETY PACK,20,,In 1956 this Brynner played King Mongkut on screen,Yul Brynner
BODY PARTS BY PREFIX,20,,Sangui-,blood
AMERICAN WOMAN,20,,Her maiden name was Fitzgerald when she married into the fabled Kennedy family in 1914,Rose Kennedy
SHELLFISH,20,,2 edible types of this shellfish found on the Pacific coast of North America are the Red King & Dungeness,crabs
WEAPONS,20,,Most of us know it better as Excalibur; Geoffrey of Monmouth called this king's sword Caliburn,King Arthur
ON THE RADIO,20,,"The 20th century's top song in U.S. airplay, this one by The Righteous Brothers has been heard over 8 million times","""You've Lost That Lovin' Feelin'"""
LET'S GO TO THE PARK,20,,"A state park near Little Falls, Minnesota honors this aviator whose boyhood home is now a museum there",Charles Lindbergh
IOWA,20,,"This ""yummy"" red apple, the USA's top seller, was developed in the 1880s in Jesse Hiatt's orchard near East Peru",the Red Delicious
THE PRODUCERS,20,,This central state produces more cheese than any other,Wisconsin
MYTHICAL MENAGERIE,20,,"After Argus the hundred-eyed giant died, Hera set his eyes in the tail of this bird",the peacock
STORIED HOTELS,20,,"Hercule Poirot sups at the Savoy in this woman's novel ""Lord Edgware Dies""",Agatha Christie
B MINUS,20,,"Strip the ""B"" off a South American country & you're left with her, Ms. Newton-John",Olivia (from Bolivia)
THINK PINK,20,,"The title of this 1964 film refers to a large gem, not Inspector Clouseau",The Pink Panther
LATIN CLASS,20,,"Ante means before, as in ante partum, the period before childbirth; this word means after",post
THE STAMP ACT,20,,The third Looney Tunes stamp featured this avian rival of the first Looney Tunes stamp,Daffy Duck
SECONDS,20,,"Baltic Avenue is the second property after ""Go"" in this game",Monopoly
NEW HAMPSHIRE,20,,How cool! In 1998 New Hampshire adopted this as its state sport,skiing
SOUNDS,20,,"A loud, resonant sound, or a time of prosperity",a boom
"YOU GET AN ""F""",20,,...in music if you can't remember that the piccolo is a member of this woodwind's family,flute
ROLE CALL,20,,"Bronco Billy, Thunderbolt Doherty, Harry Callahan",Clint Eastwood
AROUND THE HORN,20,,In August 1578 this English navigator sailed around Cape Horn,Drake
CHICAGO,20,,"The Art Institute of Chicago is guarded by 2 of these beasts (bronze ones, not real ones)",lions
3-LETTER THE BETTER,20,,You take your llama to one when it's sick,a vet (doc accepted)
I'LL HAVE SECONDS,20,,It's your relationship to your mother's uncle's daughter's son,second cousin
"""V"" IS FOR...",20,,"...this, a boat, bowl or blood-carrier",vessel
APRIL,20,,"On April 3, 1945, an all-black platoon called the Dusty Devastators saw action for the first time in this country",Germany
SOMEBODY WROTE THAT,20,,"Herman Mankiewicz shared a Best Original Screenplay Oscar for ""Citizen Kane"" with this man",Orson Welles
WHICH TIME ZONE?,20,,"Wichita, Kansas",Central
GOING DUTCH,20,,In 1656 Dutch scientist Christiaan Huygens made the first pendulum type of this device,a clock
THE OFFICE,20,,"""Minnie"" say 5-foot-tall mice & ducks romp around the offices of this Burbank-based media company",Disney
"IT'S ALL ABOUT ""U""",20,,Term for the covering material used in making chairs & couches,upholstery
ON THE MENU,20,,The meaty-clawed Maine type of this crustacean is also called the American type,a lobster
"""D"" BRIEFING",20,,Snow White's only beardless dwarf,Dopey
SEAFOOD,20,,There are bluefin & yellowfin varieties of this fish,tuna
LET'S GO SHOPPING,20,,"First off, I need a pair of this brand's Chuck Taylor All Star sneakers",Converse
THREE OF A KIND,20,,"Tarantella, flamenco, break",dances
LETTER MEN,20,,"At his death in 1971, there were more than 1,600 department stores bearing his name",J.C. Penney
"ENGLAND, SCOTLAND OR WALES",20,,The Angus breed of cattle was developed there,Scotland
POP GOES THE CULTURE,20,,"Some wondered if she'd be known as ""J.Ant."" after a surprise marriage, her third, to singer Marc Anthony",Jennifer Lopez
PEOPLES,20,,They included Britons & Gauls & gave their name to a branch of languages that includes Gaelic,Celts (Celtic accepted)
THE TUDORS,20,,"In one episode, Henry VIII & this woman have a little dinner conversation ""You have not answered my nephew's letters."" ""Just because your nephew's the king of Spain, does he think I have nothing better to do?""",Catherine of Aragon
THE WRITE STUFF,20,,"It was the day job of James Herriot, the author of ""All Creatures Great & Small""",veterinarian
ONLY ONE VOWEL,20,,2.54 centimeters,an inch
CEMETERIES,20,,"Although Emile Zola's gravestone still rests at this city's Cimetiere de Montmartre, his body was moved to the Pantheon",Paris
BRITSPEAK,20,,"When Nigel heard his wife was preggers, he broke out the champers, this celebratory beverage",champagne
MAKE NO MYTHTAKE,20,,"In Roman myth, Naenia, whose name means ""dirge"", presided over these ceremonies",funerals
TAKE THE FIFTH,20,,The two U.S. presidents who were fifth cousins,Teddy Roosevelt and FDR
MAN-AGRAMS,20,,"He had ""Fun in Acapulco"": SLEEPY LIVERS",Elvis Presley
ALSO KNOWN AS,20,,The Yeti,the Abominable Snowman
BIOPICS,20,,In 1938 Gary Cooper discovered spaghetti & gunpowder as this adventurer in the East,Marco Polo
HYBRIDS,20,,"Daedalus built the labyrinth in which this half-man, half-bull monster was kept",the Minotaur
ECON 101,20,,Ursine term for an investor who expects share prices to fall,bear
FROM B TO C,20,,"Pertaining to an inflamed swelling of a lymph node, all too common in the 14th century",bubonic
SPECIAL MONTHS,20,,"Since kids get lots of them then, it makes sense that this month is Safe Toys & Gifts Month",December
WHAT DO YOU STAND FOR?,20,,"The oil treatment product STP stands for ""scientifically treated"" this",petroleum
IT'S A PROCESS,20,,"Finding the right answer by testing & getting rid of the wrong ones is called ""process of"" this",elimination
"3 ""T""S",20,,"A favorite of chefs, this type of chocolate contains at least 35% chocolate liquor",bittersweet
JACK,20,,He was twice jailed in the 1990s for assisting the suicides of terminally ill patients,Kevorkian
ALL EARS,20,,"Injury, infection & loud noises can cause this membrane between the external ear canal & middle ear to rupture",the eardrum
CORNERSTONES,20,,"As president of the Mormon church, he laid one of the cornerstones for the Salt Lake temple in 1853",Brigham Young
"""A"" BEFORE ""E""",20,,A radio antenna,an aerial
WHAT DO YOU COLLECT?,20,,A lepidopterist,butterflies
FOR YOUR REFERENCE,20,,It's a 5-letter word for a book of maps,an atlas
IN THE PINK,20,,"pinkribbonshop.com promotes awareness of this disease, ""one pink ribbon at a time""",breast cancer
